1,Welche Geschwindigkeit darf auf dem Bodensse höchstens gefahren werden?,40 km/h,10 km/h,30 km/h,Allgemeine Fragen zum Bodensee
2,Welche Geschwindigkeitsbeschränkung für Vergnügungfahrzeuge gilt auf den Rheinstrecken “Seerhein” und “Alter Rhein”?,10 km/h,20 km/h,40 km/h,Allgemeine Fragen zum Bodensee
3,Ist Wasserskifahren auf den Rheinstrecken erlaubt?,Nein,Ja,"Ja, wenn wenige Boote auf dem Wasser sind ",Allgemeine Fragen zum Bodensee
4,Welche Einschränkungen gibt es für die maschinenbestriebene Schiffahr im Uferbereich?,"Beim An- und Ablegen den kürzesten Weg nehmen, Höchstgeschwindigkeit ist 10 km/h","Bein Anlegen 2 mal, beim Ablegen 3 mal kurz hupen",Maximale Geschwindigkeit ist 5 km/h,Allgemeine Fragen zum Bodensee
5,Welche Regeln müsen beim Ankern auf dem Bodensee außerhalb bewilligert Liegeplätze beachtet werden?,Ohne Erlaubnis darf nicht länger als 24 Stunden am gleichen Ort geankert ewrden,Eine Ankerboje muss ausgelegt werden ,Der Anker muss ein Danforth Anker sein,Allgemeine Fragen zum Bodensee
6,Welche Staaten grenzen an den Bodensee?,"Deutschland, Schweiz, Österreich","Österreich, Deutschland. Vorarlberg","Deutschland, Schweiz, Bregrenz",Allgemeine Fragen zum Bodensee
7,Wo gibt es auf dem Obersee Hoheitsgrenzen?,In der Konstanzer Bucht,Zwischen Deutschland und Österreich,In der Gewässermitte,Allgemeine Fragen zum Bodensee
8,Wie sind die Hoheitsgrenzen auf den Rheinstrecken festgeelgt?,In der Gewässermitte,Im gemeinsam verwalteten Hoheitsgebiet,In der Konstanzer Bucht,Allgemeine Fragen zum Bodensee
9,Was verstehen Sie unter einem Kondominium?,Ein gemeinsam verwaltetes Hoheitsgebiet,Ein in der Gewässermitte geteiltes Gebiet,Ein überwachtes Schifffahrtsgebiet,Allgemeine Fragen zum Bodensee
10,Was verstehen Sie unter eine Realteiling in Bezug auf den Bodensee?,Gewässerteilung in der Mitte,Ein gemeinsam verwaltetes Hoheitsgebiet,Ein überwachtes Kondominium,Allgemeine Fragen zum Bodensee
11,Wie heßen die 3 größten Inseln im Bodensee?,"Lindau, Mainau, Reichenau","Mettnau, Mainau, Reichenau","Reichenau, Lindau, Höri",Allgemeine Fragen zum Bodensee
12,Wie groß ist die fläche des Bodnesees?,571 km2,823 km2,457 km2,Allgemeine Fragen zum Bodensee
13,Wie weit sind Ludwigshafen und Bregenz voneinander entfernt?,63 km ,72 km ,37 km ,Allgemeine Fragen zum Bodensee
14,Wie breit ist der Bodensee zwischen Arbon und Friedrichshafen?,14 km ,27 km ,63 km ,Allgemeine Fragen zum Bodensee
15,Wo ist die größte Tiefe des Obersees?,Zwischen Fischbach und Uttwil,Zwishen Ganau und Meersburg,Zwishen Konstanz und Mainau,Allgemeine Fragen zum Bodensee
16,Wie tief ist die tiefste Stelle des Bodensee?,254 m ,166 m ,293 m ,Allgemeine Fragen zum Bodensee
17,Wie wird der Seeboden eingeteilt?,"Ufer, Hang, Wysse, Halde, Schweb, tiefhalde, Tiefer Schweb","Ufer, Schweb, Tiefer Schweb, Tiefhalde, Halde, Wysse, Hang","Ufer Wysse, Hang, Schweb, Tiefhalde, Tiefer Schweb, Halde",Allgemeine Fragen zum Bodensee
18,Wie groß ist die Entfernung von Konstanz nach Bregenz?,46 km ,27 km ,65 km ,Allgemeine Fragen zum Bodensee
19,Wie weit sind Ludwigshafen und Bregenz voneinander entfernt?,17 km ,23 km ,27 km ,Allgemeine Fragen zum Bodensee
20,Wie groß ist die Entfernung von Konstanz nach Stein am Rhein?,27 km ,13 km ,45 km ,Allgemeine Fragen zum Bodensee
21,Wie heißen die wichtigsten Naturschutzgebiete am Bodensee?,"Eriskricher Ried, Wollmatinger Ried, Halbinsel Mettnau","Wollmatinger Ried, Höri, Halbinsel Eriskrich","Insel Reichenau, Mettnau, Wollmatingen",Allgemeine Fragen zum Bodensee
22,Wie sind die Naturschutzgebiete markiert?,"Durch weiße Dreiechstrafeln, grüner Rand, schwarzer Adler und der Aufschrift “Naturschutzgebiet”",Druch grüne Tafeln mit weißem Rand und der Aufschrift “Naturschutz”,“Weiße Tafel mit roter Aufschrift “Naturschutzgebiet”,Allgemeine Fragen zum Bodensee
23,Welche Vorschirften müssen in den Naturschutzgebieten beachtet werden?,"Abstand halten, nicht hineinfahren, “Anlanden” verboten",Vorsichtiges Anlanden mit hochgeklapptem Motor,"Langsames Einfahren, um die Vögel nicht aufzuschrecken",Allgemeine Fragen zum Bodensee
24,"Welcher Mindesabstand muss bei Beständen von Wasserpflanzen wie Binsen, Schilf und Seerosen eingehalten werden? ",25 m,50 m,200 m,Allgemeine Fragen zum Bodensee
25,"Welche Bestimmungen müssen ein Sportbootfahrer und seine Mitfahrer beachten, wenn sie den Fischfang als Sportfischer ausüben wollen?",Erlaubnis und Befähigung muss vorhanden sein,Die Angel muss der Fischgröße angepasst sein,Es dürfen nciht mehr als 3 Angeln an Bord sein ,Allgemeine Fragen zum Bodensee
26,Welches ist die größte Breite des Bodensees?,14 km zwischen Friedrichshafen und Arbon,12 km zwischen Konstanz und Arbon,19 km zwischen Friedirchshafen und Meersburg,Allgemeine Fragen zum Bodensee
27,in welchen besonders gekennzeichneten Gebieten darf mit dem Vergüngungsfahrzeug nicht angelandet werden?,In Naturschutzgebieten,In Häfen und an Steganlagen,Auf den Stecken des Seerheins,Allgemeine Fragen zum Bodensee
28,Wie wird die Verbindung zwischen Ober- und Untersee genannt?,Seerhein,Alter Rhein,Neuer Rhein,Allgemeine Fragen zum Bodensee
